Code,Name,ItemType,Rarity,RequiredLevel,AttackBonus,AttackSpeedBonus,DefenseBonus,MaxHPBonus,GoldValue
RustySword,Rusty Sword,Weapon,1,1,5,0,0,0,5
WoodenShield,Wooden Shield,Armour,1,1,0,0,3,0,5
GoblinSword,Goblin Sword,Weapon,2,2,7,0,0,10,15
OpalRing,Opal Ring,Accessory,3,3,0,0.25,5,0,35
ClothScrap,Cloth Scrap,Junk,1,0,0,0,0,0,1
Pebble,Pebble,Junk,1,0,0,0,0,0,2
IronSword,Iron Sword,Weapon,1,6,10,0,0,0,17
IronShield,Iron Shield,Armour,1,6,0,0,7,0,19
BoneShield,Bone Shield,Armour,2,7,0,0,10,15,25
SpinalBow,Spinal Bow,Weapon,3,8,12,0.25,0,0,40
